title,gender,country,desc,category,imgURL,price,sale,operation
Короткий пуховик с декоративной металлической тканью,Женский,Китай,"Короткий пуховик с декоративной металлической тканью

- Пуховик прямого силуэта
- Воротник-стойка
- Карманы-листочки
- Застёжка на молнию и кнопки
- Ветрозащитная планка
- Кулиска по низу
- Отвороты на рукавах

- Длина: 71 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/ea3/686_950_43c6/37488760299.jpg,4999,20,create
Короткая базовая ультралёгкая куртка с капюшоном,Женский,Россия,"Короткая базовая ультралёгкая куртка с капюшоном

- Куртка прилегающего силуэта с акцентом на талию
- Несъёмный капюшон
- Шевронная и горизонтальная стёжка
- Карманы вдоль шва
- Застёжка на молнию
- Декоративный шеврон на рукаве

- Длина: 64,7 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Вьетнам
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/442/686_950_4ff8/38331790299.jpg,2499,29,create
Короткая базовая ультралёгкая куртка с капюшоном вариант 2,Женский,Китай,"Короткая базовая ультралёгкая куртка с капюшоном

- Куртка прилегающего силуэта с акцентом на талию
- Несъёмный капюшон
- Шевронная и горизонтальная стёжка
- Карманы вдоль шва
- Застёжка на молнию
- Декоративный шеврон на рукаве

- Длина: 64,7 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Вьетнам
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/5de/686_950_4e4f/37607420299.jpg,2499,29,create
Пуховик средней длины с объёмным воротником,Женский,Вьетнам,"Пуховик средней длины с объёмным воротником

- Пуховик расширенного силуэта
- Объёмный воротник
- Застёжка на молнию
- Ветрозащитная планка
- 2 внешних кармана на молнии

- Длина: 83 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Нейлон; Подкладка: 100% Нейлон; Утеплитель Основная часть: 70% Пух утиный серый, 30% Перо; Утеплитель Рукава, Капюшона: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/6ea/686_950_b0ec/38369880299.jpg,4499,25,create
Короткий пуховик с воротником-стойкой,Женский,Россия,"Короткий пуховик с воротником-стойкой и металлическими молниями

- Пуховик прямого силуэта
- Воротник-стойка
- 2 внешних кармана на молнии
- Застежка на молнию
- Ветрозащитная планка
- Резинка по низу

- Длина: 62 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/be8/686_950_0623/38683860299.jpg,4999,0,create
Пальто силуэта кокон с трикотажными манжетами,Женский,Китай,"Пальто силуэта кокон с трикотажными манжетами

- Пуховик прямого силуэта
- Несъёмный капюшон с регулировкой
- Застёжка на молнию
- Ветрозащитная планка
- 2 внешних кармана
- Трикотажная резинка на манжетах

- Длина: 80 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/569/686_950_9b3e/37608440299.jpg,5499,0,create
Утепленная длинная куртка скапюшоном ,Женский,Россия,"Утепленная длинная куртка с капюшоном
- Пуховик прямого силуэта
- Несъемный капюшон с регулировкой и воротником-стойкой
- Карманы-листочки
- Застежка на молнию
- Ветрозащитная планка
- Декоративный шеврон на рукаве

- Длина: 89,5 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Вьетнам
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/eab/686_950_d2c8/38650490299.jpg,4999,0,create
Длинный пуховик с капюшоном,Женский,Россия,"Длинный пуховик с капюшоном

- Несъёмный регулируемый капюшон
- 2 внешних кармана
- Застёжка на молнию
- Длина: 102 см

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/032/686_950_3a59/37489310299.jpg,8999,0,create
Длинный пуховик с контрастной фурнитурой,Женский,Вьетнам,"Длинный пуховик с контрастной фурнитурой

- Несъёмный капюшон
- 5 внешних карманов и 1 внутренний карман
- Застёжка на молнию и кнопки
- Ветрозащитная планка
- Манжеты на рукавах
- Разрезы по бокам на кнопках
- Потайная кулиска

Размер модели на фото: S

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Состав: Верх: 100% Полиэстер; Подкл: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/f2e/686_950_b95c/37609090299.jpg,6999,0,create
Короткий пуховик с воротником-стойкой вариант 2,Женский,Россия,"Короткий пуховик с воротником-стойкой и металлическими молниями

- Пуховик прямого силуэта
- Воротник-стойка
- 2 внешних кармана на молнии
- Застежка на молнию
- Ветрозащитная планка
- Резинка по низу

- Длина: 62 см

Размер модели на фото: S(26/32)

Рост модели на фото: 176 см.
Параметры модели на фото:
грудь: 83
талия: 63
бёдра: 92

Страна производства: Китай
Состав
Верх: 100% Полиэстер; Подкладка: 100% Полиэстер; Утеплитель: 100% Полиэстер",Куртки,https://img.ostin.com/upload/mdm/media_content/resize/d8a/686_950_9399/38649920299.jpg,4999,0,create
